"graph","group","pdb","chain","ligand"
120,1,"2VOG","A","B"
121,1,"2VOG","A","B"
122,10,"2VOG","A","B"
123,13,"2VOG","A","B"
124,12,"2VOH","A","B"
125,1,"2VOH","A","B"
126,5,"2VOH","A","B"
127,10,"2VOH","A","B"
128,5,"2VOH","A","B"
129,1,"2VOH","A","B"
130,5,"2VOH","A","B"
131,8,"2VOH","A","B"
132,12,"2VOH","A","B"
133,13,"2VOH","A","B"
134,3,"2VOH","A","B"
135,1,"2VOI","A","B"
136,8,"2VOI","A","B"
137,1,"2VOI","A","B"
138,1,"2VOI","A","B"
139,1,"2VOI","A","B"
140,1,"2VOI","A","B"
141,1,"2VOI","A","B"
142,12,"2VOI","A","B"
143,1,"2VOI","A","B"
144,1,"2VOI","A","B"
145,13,"2VOI","A","B"
146,1,"2XA0","A","C"
147,2,"2XA0","A","C"
148,12,"2XA0","A","C"
149,4,"2XA0","A","C"
150,5,"2XA0","A","C"
151,1,"2XA0","A","C"
152,10,"2XA0","A","C"
153,1,"2XA0","A","C"
154,7,"2XA0","A","C"
155,1,"2XA0","A","C"
156,12,"2XA0","A","C"
157,1,"2XA0","A","C"
158,1,"2XA0","A","C"
159,9,"2XA0","B","D"
160,1,"2XA0","B","D"
161,12,"2XA0","B","D"
162,1,"2XA0","B","D"
163,5,"2XA0","B","D"
164,10,"2XA0","B","D"
165,1,"2XA0","B","D"
166,7,"2XA0","B","D"
167,5,"2XA0","B","D"
168,1,"2XA0","B","D"
169,11,"2XA0","B","D"
170,1,"2XA0","B","D"
171,1,"2XA0","B","D"
172,10,"2YJ1","A","B"
173,1,"2YJ1","A","B"
174,4,"2YJ1","A","B"
175,1,"2YJ1","A","B"
176,1,"2YJ1","A","B"
177,11,"2YJ1","A","B"
178,1,"2YJ1","A","B"
179,1,"2YJ1","A","B"
180,1,"2YJ1","A","B"
181,1,"2YJ1","A","B"
182,3,"2YJ1","A","B"
183,1,"2YJ1","A","B"
184,10,"2YJ1","A","B"
185,10,"2YJ1","A","B"
186,10,"2YJ1","C","D"
187,5,"2YJ1","C","D"
188,4,"2YJ1","C","D"
189,10,"2YJ1","C","D"
190,10,"2YJ1","C","D"
191,1,"2YJ1","C","D"
192,1,"2YJ1","C","D"
193,5,"2YJ1","C","D"
194,7,"2YJ1","C","D"
195,1,"2YJ1","C","D"
196,1,"2YJ1","C","D"
197,3,"2YJ1","C","D"
198,10,"2YQ6","A","B"
199,4,"2YQ6","A","B"
200,1,"2YQ6","A","B"
201,1,"2YQ6","A","B"
202,1,"2YQ6","A","B"
203,6,"2YQ6","A","B"
204,1,"2YQ6","A","B"
205,1,"2YQ6","A","B"
206,1,"2YQ6","A","B"
207,3,"2YQ6","A","B"
208,10,"2YQ7","A","B"
209,5,"2YQ7","A","B"
210,4,"2YQ7","A","B"
211,13,"2YQ7","A","B"
212,1,"2YQ7","A","B"
213,1,"2YQ7","A","B"
214,4,"2YQ7","A","B"
215,1,"2YQ7","A","B"
216,5,"2YQ7","A","B"
217,6,"2YQ7","A","B"
218,3,"2YQ7","A","B"
219,1,"2YQ7","A","B"
220,1,"3BL2","A","C"
221,9,"3BL2","A","C"
222,5,"3BL2","A","C"
223,1,"3BL2","A","C"
224,1,"3BL2","A","C"
225,1,"3BL2","A","C"
226,1,"3BL2","A","C"
227,8,"3BL2","A","C"
228,1,"3BL2","A","C"
229,11,"3BL2","A","C"
230,13,"3BL2","A","C"
231,1,"3BL2","A","C"
232,1,"3BL2","A","C"
233,1,"3BL2","B","D"
234,4,"3BL2","B","D"
235,5,"3BL2","B","D"
236,1,"3BL2","B","D"
237,1,"3BL2","B","D"
238,5,"3BL2","B","D"
239,5,"3BL2","B","D"
240,12,"3BL2","B","D"
241,13,"3BL2","B","D"
242,10,"3BL2","B","D"
243,1,"3BL2","B","D"
244,1,"3DVU","A","C"
245,5,"3DVU","A","C"
246,1,"3DVU","A","C"
247,5,"3DVU","A","C"
248,1,"3DVU","A","C"
249,1,"3DVU","A","C"
250,13,"3DVU","A","C"
251,1,"3DVU","A","C"
252,11,"3DVU","A","C"
253,1,"3DVU","A","C"
254,1,"3DVU","B","D"
255,9,"3DVU","B","D"
256,13,"3DVU","B","D"
257,5,"3DVU","B","D"
258,13,"3DVU","B","D"
259,1,"3DVU","B","D"
260,1,"3DVU","B","D"
261,8,"3DVU","B","D"
262,1,"3DVU","B","D"
263,11,"3DVU","B","D"
264,1,"3DVU","B","D"
265,13,"3FDL","A","B"
266,9,"3FDL","A","B"
267,8,"3FDL","A","B"
268,8,"3FDL","A","B"
269,1,"3FDL","A","B"
270,5,"3FDL","A","B"
271,10,"3FDL","A","B"
272,10,"3FDL","A","B"
273,6,"3FDL","A","B"
274,4,"3FDL","A","B"
275,1,"3FDL","A","B"
276,1,"3FDL","A","B"
277,1,"3FDM","A","D"
278,8,"3FDM","A","D"
279,1,"3FDM","A","D"
280,6,"3FDM","A","D"
281,1,"3FDM","A","D"
282,3,"3FDM","A","D"
283,13,"3FDM","A","D"
284,5,"3FDM","B","E"
285,11,"3FDM","B","E"
286,4,"3FDM","B","E"
287,5,"3FDM","B","E"
288,1,"3FDM","B","E"
289,5,"3FDM","B","E"
290,12,"3FDM","B","E"
291,1,"3FDM","B","E"
292,10,"3FDM","B","E"
293,5,"3FDM","C","F"
294,4,"3FDM","C","F"
295,13,"3FDM","C","F"
296,12,"3FDM","C","F"
297,1,"3FDM","C","F"
298,10,"3FDM","C","F"
299,1,"3I1H","A","B"
300,13,"3I1H","A","B"
301,5,"3I1H","A","B"
302,2,"3I1H","A","B"
303,1,"3I1H","A","B"
304,6,"3I1H","A","B"
305,10,"3I1H","A","B"
306,1,"3IO8","A","B"
307,3,"3IO8","A","B"
308,1,"3IO8","A","B"
309,13,"3IO8","A","B"
310,9,"3IO8","A","B"
311,5,"3IO8","A","B"
312,9,"3IO8","A","B"
313,11,"3IO8","A","B"
314,1,"3IO8","A","B"
315,5,"3IO8","C","D"
316,2,"3IO8","C","D"
317,2,"3IO8","C","D"
318,10,"3IO8","C","D"
319,3,"3IO8","C","D"
320,1,"3IO8","C","D"
321,10,"3IO8","C","D"
322,5,"3IO8","C","D"
323,7,"3IO8","C","D"
324,3,"3IO8","C","D"
325,10,"3IO8","C","D"
326,5,"3MQP","A","B"
327,1,"3MQP","A","B"
328,5,"3MQP","A","B"
329,1,"3MQP","A","B"
330,5,"3MQP","A","B"
331,4,"3MQP","A","B"
332,7,"3MQP","A","B"
333,1,"3MQP","A","B"
334,8,"3MQP","A","B"
335,4,"3MQP","A","B"
336,10,"3MQP","A","B"
337,2,"3PL7","A","C"
338,1,"3PL7","A","C"
339,10,"3PL7","A","C"
340,1,"3PL7","A","C"
341,1,"3PL7","A","C"
342,5,"3PL7","A","C"
343,10,"3PL7","A","C"
344,1,"3PL7","A","C"
345,12,"3PL7","A","C"
346,1,"3PL7","A","C"
347,10,"3PL7","A","C"
348,8,"3PL7","B","C"
349,5,"3PL7","B","C"
350,11,"3PL7","B","C"
351,13,"3PL7","B","C"
352,1,"3PL7","B","C"
353,3,"3R85","A","E"
354,5,"3R85","A","E"
355,4,"3R85","A","E"
356,8,"3R85","A","E"
357,4,"3R85","A","E"
358,1,"3R85","A","E"
359,10,"3R85","A","E"
360,11,"3R85","A","E"
361,9,"3R85","A","E"
362,1,"3R85","A","E"
363,13,"3R85","A","E"
364,10,"3R85","A","E"
365,5,"3R85","B","F"
366,4,"3R85","B","F"
367,1,"3R85","B","F"
368,4,"3R85","B","F"
369,2,"3R85","B","F"
370,1,"3R85","B","F"
371,6,"3R85","B","F"
372,5,"3R85","B","F"
373,10,"3R85","B","F"
374,10,"3R85","B","F"
375,3,"3R85","C","G"
376,9,"3R85","C","G"
377,1,"3R85","C","G"
378,1,"3R85","C","G"
379,4,"3R85","C","G"
380,11,"3R85","C","G"
381,4,"3R85","C","G"
382,1,"3R85","C","G"
383,1,"3R85","C","G"
384,4,"3R85","D","H"
385,5,"3R85","D","H"
386,1,"3R85","D","H"
387,4,"3R85","D","H"
388,9,"3R85","D","H"
389,1,"3R85","D","H"
390,1,"3R85","D","H"
391,11,"3R85","D","H"
392,10,"3R85","D","H"
393,1,"4A1U","A","B"
394,2,"4A1U","A","B"
395,1,"4A1U","A","B"
396,1,"4A1U","A","B"
397,1,"4A1U","A","B"
398,1,"4A1U","A","B"
399,1,"4A1U","A","B"
400,5,"4A1U","A","B"
401,7,"4A1U","A","B"
402,1,"4A1U","A","B"
403,13,"4A1U","A","B"
404,1,"4A1U","A","B"
405,5,"4A1U","A","B"
406,10,"4A1U","A","B"
407,1,"4A1U","A","B"
408,8,"4A1W","A","P"
409,5,"4A1W","A","P"
410,1,"4A1W","A","P"
411,5,"4A1W","A","P"
412,7,"4A1W","A","P"
413,1,"4A1W","A","P"
414,1,"4A1W","A","P"
415,10,"4A1W","B","Q"
416,1,"4A1W","B","Q"
417,1,"4A1W","B","Q"
418,1,"4A1W","B","Q"
419,1,"4A1W","B","Q"
420,5,"4A1W","B","Q"
421,7,"4A1W","B","Q"
422,1,"4A1W","B","Q"
423,8,"4A1W","C","R"
424,5,"4A1W","C","R"
425,5,"4A1W","C","R"
426,5,"4A1W","C","R"
427,5,"4A1W","C","R"
428,7,"4A1W","C","R"
429,1,"4A1W","C","R"
430,10,"4A1W","D","S"
431,1,"4A1W","D","S"
432,4,"4A1W","D","S"
433,7,"4A1W","D","S"
434,9,"4BPK","A","C"
435,1,"4BPK","A","C"
436,1,"4BPK","A","C"
437,10,"4BPK","A","C"
438,6,"4BPK","A","C"
439,1,"4BPK","A","C"
440,1,"4BPK","A","C"
441,1,"4BPK","A","C"
442,5,"4BPK","A","C"
443,5,"4BPK","B","D"
444,5,"4BPK","B","D"
445,1,"4BPK","B","D"
446,1,"4BPK","B","D"
447,7,"4BPK","B","D"
448,1,"4BPK","B","D"
449,1,"4BPK","B","D"
450,2,"4CIM","A","P"
451,11,"4CIM","A","P"
452,2,"4CIM","A","P"
453,2,"4CIM","A","P"
454,1,"4CIM","A","P"
455,1,"4CIM","A","P"
456,12,"4CIM","A","P"
457,1,"4CIM","A","P"
458,6,"4CIM","A","P"
459,3,"4CIM","A","P"
460,9,"4CIM","B","Q"
461,11,"4CIM","B","Q"
462,2,"4CIM","B","Q"
463,2,"4CIM","B","Q"
464,1,"4CIM","B","Q"
465,1,"4CIM","B","Q"
466,12,"4CIM","B","Q"
467,5,"4CIM","B","Q"
468,6,"4CIM","B","Q"
469,3,"4CIM","B","Q"
470,1,"4CIN","A","C"
471,10,"4CIN","A","C"
472,1,"4CIN","A","C"
473,1,"4CIN","A","C"
474,7,"4CIN","A","C"
475,1,"4CIN","A","C"
476,1,"4CIN","A","C"
477,9,"4CIN","A","C"
478,5,"4CIN","A","C"
479,10,"4CIN","A","C"
480,1,"4CIN","A","C"
481,11,"4CIN","A","C"
482,10,"4CIN","A","C"
483,7,"4CIN","B","D"
484,1,"4CIN","B","D"
485,1,"4CIN","B","D"
486,4,"4CIN","B","D"
487,7,"4CIN","B","D"
488,2,"4CIN","B","D"
489,10,"4CIN","B","D"
490,1,"4G35","A","B"
491,6,"4G35","A","B"
492,1,"4G35","A","B"
493,1,"4G35","A","B"
494,1,"4G35","A","B"
495,1,"4G35","A","B"
496,10,"4G35","A","B"
497,4,"4G35","A","B"
498,10,"4G35","A","B"
499,8,"4HNJ","A","C"
500,5,"4HNJ","A","C"
501,1,"4HNJ","A","C"
502,1,"4HNJ","A","C"
503,4,"4HNJ","A","C"
504,5,"4HNJ","A","C"
505,7,"4HNJ","A","C"
506,5,"4HNJ","A","C"
507,1,"4HNJ","A","C"
508,5,"4HNJ","A","C"
509,8,"4K5A","A","B"
510,1,"4K5A","A","B"
511,1,"4K5A","A","B"
512,12,"4K5A","A","B"
513,9,"4K5A","A","B"
514,1,"4K5A","A","B"
515,12,"4K5A","A","B"
516,1,"4K5A","A","B"
517,2,"4K5A","A","B"
518,10,"4K5A","A","B"
519,1,"4K5A","A","B"
520,9,"4K5A","A","B"
521,8,"4K5A","A","B"
522,1,"4K5A","A","B"
523,1,"4K5B","C","B"
524,7,"4K5B","C","B"
525,1,"4K5B","C","B"
526,1,"4K5B","C","B"
527,1,"4K5B","C","B"
528,13,"4K5B","C","B"
529,1,"4K5B","C","B"
530,8,"4K5B","C","B"
531,10,"4K5B","C","B"
532,5,"4K5B","C","B"
533,10,"4K5B","C","B"
534,1,"4K5B","D","A"
535,7,"4K5B","D","A"
536,5,"4K5B","D","A"
537,4,"4K5B","D","A"
538,13,"4K5B","D","A"
539,10,"4K5B","D","A"
540,8,"4K5B","D","A"
541,1,"4K5B","D","A"
542,1,"4K5B","D","A"
543,8,"4K5B","D","A"
544,4,"4K5B","D","A"
545,10,"4K5B","D","A"
546,2,"4MI8","A","C"
547,4,"4MI8","A","C"
548,1,"4MI8","A","C"
549,1,"4MI8","A","C"
550,1,"4MI8","A","C"
551,1,"4MI8","A","C"
552,5,"4MI8","A","C"
553,5,"4MI8","A","C"
554,12,"4MI8","A","C"
555,13,"4MI8","A","C"
556,9,"4MI8","B","D"
557,1,"4MI8","B","D"
558,5,"4MI8","B","D"
559,1,"4MI8","B","D"
560,1,"4MI8","B","D"
561,4,"4MI8","B","D"
562,1,"4MI8","B","D"
563,12,"4MI8","B","D"
564,13,"4MI8","B","D"
565,1,"4MI8","B","D"
566,4,"4QVE","A","B"
567,5,"4QVE","A","B"
568,13,"4QVE","A","B"
569,13,"4QVE","A","B"
570,1,"4QVE","A","B"
571,4,"4QVE","A","B"
572,1,"4QVE","A","B"
573,4,"4QVE","A","B"
574,5,"4QVE","A","B"
575,12,"4QVE","A","B"
576,10,"4QVE","A","B"
577,1,"4QVE","A","B"
578,13,"4QVE","A","B"
579,9,"4QVF","A","B"
580,10,"4QVF","A","B"
581,5,"4QVF","A","B"
582,11,"4QVF","A","B"
583,4,"4QVF","A","B"
584,1,"4QVF","A","B"
585,5,"4QVF","A","B"
586,10,"4QVF","A","B"
587,1,"4QVF","A","B"
588,10,"4QVF","A","B"
589,1,"4QVF","A","B"
590,7,"4QVF","A","B"
591,9,"4QVF","A","B"
592,1,"4QVF","A","B"
593,6,"4S0P","A","B"
594,1,"4S0P","A","B"
595,1,"4S0P","A","B"
596,8,"4S0P","A","B"
597,13,"4S0P","A","B"
598,13,"4S0P","A","B"
599,10,"4S0P","A","B"
600,13,"4S0P","A","B"
601,1,"4YJ4","A","B"
602,5,"4YJ4","A","B"
603,1,"4YJ4","A","B"
604,5,"4YJ4","A","B"
605,10,"4YJ4","A","B"
606,5,"4YJ4","A","B"
607,7,"4YJ4","A","B"
608,1,"4YJ4","A","B"
609,10,"4YJ4","A","B"
610,2,"4YJ4","A","B"
611,10,"4YK9","A","B"
612,5,"4YK9","A","B"
613,4,"4YK9","A","B"
614,13,"4YK9","A","B"
615,1,"4YK9","A","B"
616,5,"4YK9","A","B"
617,11,"4YK9","A","B"
618,5,"4YK9","A","B"
619,9,"4YK9","A","B"
620,10,"4YK9","F","G"
621,5,"4YK9","F","G"
622,5,"4YK9","F","G"
623,4,"4YK9","F","G"
624,1,"4YK9","F","G"
625,13,"4YK9","F","G"
626,5,"4YK9","F","G"
627,6,"4YK9","F","G"
628,2,"4YK9","F","G"
629,9,"4Z9V","A","C"
630,2,"4Z9V","A","C"
631,7,"4Z9V","A","C"
632,1,"4Z9V","A","C"
633,1,"4Z9V","A","C"
634,5,"4Z9V","B","D"
635,5,"4Z9V","B","D"
636,1,"4Z9V","B","D"
637,1,"4Z9V","B","D"
638,1,"4Z9V","B","D"
639,1,"4Z9V","B","D"
640,1,"4Z9V","B","D"
641,1,"4Z9V","B","D"
642,5,"4Z9V","B","D"
643,5,"4Z9V","B","D"
644,7,"4Z9V","B","D"
645,1,"4Z9V","B","D"
646,1,"4ZEQ","A","B"
647,4,"4ZEQ","A","B"
648,8,"4ZEQ","A","B"
649,1,"4ZEQ","A","B"
650,1,"4ZEQ","A","B"
651,4,"4ZEQ","A","B"
652,1,"4ZEQ","A","B"
653,12,"4ZEQ","A","B"
654,1,"4ZEQ","A","B"
655,13,"4ZEQ","A","B"
656,1,"4ZEQ","A","B"
657,2,"5AGW","A","D"
658,5,"5AGW","A","D"
659,4,"5AGW","A","D"
660,2,"5AGW","A","D"
661,6,"5AGW","A","D"
662,1,"5AGW","A","D"
663,4,"5AGW","B","C"
664,1,"5AGW","B","C"
665,1,"5AGW","B","C"
666,1,"5AGW","B","C"
667,1,"5AGW","B","C"
668,1,"5AGW","B","C"
669,1,"5AGW","B","C"
670,1,"5AGW","B","C"
671,11,"5AGW","B","C"
672,10,"5AGX","A","D"
673,4,"5AGX","A","D"
674,5,"5AGX","A","D"
675,5,"5AGX","A","D"
676,2,"5AGX","A","D"
677,5,"5AGX","A","D"
678,7,"5AGX","A","D"
679,8,"5AGX","A","D"
680,3,"5AGX","A","D"
681,10,"5AGX","A","D"
682,1,"5AGX","B","C"
683,2,"5AGX","B","C"
684,5,"5AGX","B","C"
685,1,"5AGX","B","C"
686,5,"5AGX","B","C"
687,5,"5AGX","B","C"
688,6,"5AGX","B","C"
689,3,"5AGX","B","C"
690,13,"5B1Z","A","C"
691,1,"5B1Z","A","C"
692,10,"5B1Z","A","C"
693,5,"5B1Z","A","C"
694,1,"5B1Z","A","C"
695,1,"5B1Z","A","C"
696,1,"5B1Z","A","C"
697,1,"5B1Z","A","C"
698,11,"5B1Z","A","C"
699,1,"5B1Z","A","C"
700,1,"5B1Z","A","C"
701,10,"5B1Z","A","C"
702,9,"5B1Z","A","C"
703,8,"5B1Z","B","D"
704,5,"5B1Z","B","D"
705,10,"5B1Z","B","D"
706,1,"5B1Z","B","D"
707,1,"5B1Z","B","D"
708,1,"5B1Z","B","D"
709,1,"5B1Z","B","D"
710,1,"5B1Z","B","D"
711,10,"5B1Z","B","D"
712,11,"5B1Z","B","D"
713,10,"5B1Z","B","D"
714,10,"5B1Z","B","D"
715,1,"5C3G","A","B"
716,9,"5C3G","A","B"
717,2,"5C3G","A","B"
718,10,"5C3G","A","B"
719,1,"5C3G","A","B"
720,1,"5C3G","A","B"
721,7,"5C3G","A","B"
722,1,"5C3G","A","B"
723,1,"5C3G","A","B"
724,1,"5FCG","A","C"
725,13,"5FCG","A","C"
726,9,"5FCG","A","C"
727,9,"5FCG","A","C"
728,10,"5FCG","A","C"
729,5,"5FCG","A","C"
730,8,"5FCG","A","C"
731,1,"5FCG","A","C"
732,1,"5FCG","A","C"
733,7,"5FCG","A","C"
734,5,"5FCG","A","C"
735,10,"5FCG","A","C"
736,1,"5FMJ","A","B"
737,9,"5FMJ","A","B"
738,5,"5FMJ","A","B"
739,11,"5FMJ","A","B"
740,4,"5FMJ","A","B"
741,1,"5FMJ","A","B"
742,5,"5FMJ","A","B"
743,1,"5FMJ","A","B"
744,7,"5FMJ","A","B"
745,10,"5FMJ","A","B"
746,1,"5FMK","A","B"
747,4,"5FMK","A","B"
748,2,"5FMK","A","B"
749,11,"5FMK","A","B"
750,2,"5FMK","A","B"
751,10,"5FMK","A","B"
752,5,"5FMK","A","B"
753,5,"5FMK","A","B"
754,5,"5FMK","A","B"
755,11,"5FMK","A","B"
756,1,"5FMK","A","B"
757,10,"5FMK","A","B"
758,10,"5FMK","A","B"
759,10,"5FMK","A","B"
760,1,"5FMK","A","B"
761,8,"5JSN","A","B"
762,4,"5JSN","A","B"
763,5,"5JSN","A","B"
764,7,"5JSN","A","B"
765,5,"5JSN","A","B"
766,12,"5JSN","A","B"
767,5,"5JSN","A","B"
768,7,"5JSN","A","B"
769,5,"5JSN","A","B"
770,12,"5JSN","A","B"
771,1,"5JSN","A","B"
772,12,"5JSN","C","D"
773,5,"5JSN","C","D"
774,9,"5JSN","C","D"
775,7,"5JSN","C","D"
776,1,"5JSN","C","D"
777,8,"5JSN","C","D"
778,7,"5JSN","C","D"
779,5,"5JSN","C","D"
780,5,"5JSN","C","D"
781,12,"5JSN","C","D"
782,5,"5JSN","C","D"
783,1,"5TWA","A","D"
784,8,"5TWA","A","D"
785,5,"5TWA","A","D"
786,1,"5TWA","A","D"
787,10,"5TWA","A","D"
788,5,"5TWA","A","D"
789,10,"5TWA","A","D"
790,4,"5TWA","A","D"
791,8,"5TWA","A","D"
792,12,"5TWA","A","D"
793,3,"5TWA","A","D"
794,1,"5TWA","A","D"
795,1,"5TWA","A","D"
796,1,"5TWA","B","C"
797,1,"5TWA","B","C"
798,11,"5TWA","B","C"
799,5,"5TWA","B","C"
800,10,"5TWA","B","C"
801,10,"5TWA","B","C"
802,1,"5TWA","B","C"
803,10,"5TWA","B","C"
804,4,"5TWA","B","C"
805,8,"5TWA","B","C"
806,12,"5TWA","B","C"
807,4,"5TWA","B","C"
808,5,"5TWA","B","C"
809,1,"5TWA","B","C"
810,2,"5UA4","A","B"
811,1,"5UA4","A","B"
812,10,"5UA4","A","B"
813,1,"5UA4","A","B"
814,5,"5UA4","A","B"
815,11,"5UA4","A","B"
816,1,"5UA4","A","B"
817,12,"5UA4","A","B"
818,1,"5UA5","A","B"
819,1,"5UA5","A","B"
820,1,"5UA5","A","B"
821,10,"5UA5","A","B"
822,12,"5UA5","A","B"
823,5,"5UA5","A","B"
824,5,"5UA5","A","B"
825,10,"5UA5","A","B"
826,1,"5UUK","A","B"
827,13,"5UUK","A","B"
828,1,"5UUK","A","B"
829,1,"5UUK","A","B"
830,4,"5UUK","A","B"
831,1,"5UUK","A","B"
832,1,"5UUK","A","B"
833,8,"5UUK","A","B"
834,10,"5UUK","A","B"
835,10,"5UUK","A","B"
836,1,"5UUK","A","B"
837,1,"5UUK","A","B"
838,8,"5UUK","A","B"
839,4,"5UUK","A","B"
840,1,"5UUK","A","B"
841,1,"5UUL","A","B"
842,4,"5UUL","A","B"
843,1,"5UUL","A","B"
844,1,"5UUL","A","B"
845,8,"5UUL","A","B"
846,11,"5UUL","A","B"
847,5,"5UUL","A","B"
848,2,"5UUL","A","B"
849,1,"5UUP","A","B"
850,1,"5UUP","A","B"
851,7,"5UUP","A","B"
852,1,"5UUP","A","B"
853,5,"5UUP","A","B"
854,1,"5UUP","A","B"
855,8,"5UUP","A","B"
856,1,"5VAU","A","E"
857,5,"5VAU","A","E"
858,1,"5VAU","A","E"
859,1,"5VAU","A","E"
860,13,"5VAU","A","E"
861,1,"5VAU","A","E"
862,6,"5VAU","A","E"
863,1,"5VAU","A","E"
864,1,"5VAU","A","E"
865,10,"5VAU","A","E"
866,1,"5VAU","B","F"
867,4,"5VAU","B","F"
868,1,"5VAU","B","F"
869,1,"5VAU","B","F"
870,1,"5VAU","B","F"
871,1,"5VAU","B","F"
872,5,"5VAU","B","F"
873,6,"5VAU","B","F"
874,1,"5VAU","B","F"
875,1,"5VAU","C","G"
876,5,"5VAU","C","G"
877,10,"5VAU","C","G"
878,1,"5VAU","C","G"
879,9,"5VAU","C","G"
880,1,"5VAU","C","G"
881,1,"5VAU","C","G"
882,5,"5VAU","C","G"
883,1,"5VAU","C","G"
884,6,"5VAU","C","G"
885,3,"5VAU","C","G"
886,10,"5VAU","C","G"
887,5,"5VAU","D","H"
888,5,"5VAU","D","H"
889,1,"5VAU","D","H"
890,1,"5VAU","D","H"
891,1,"5VAU","D","H"
892,5,"5VAU","D","H"
893,6,"5VAU","D","H"
894,1,"5VAU","D","H"
895,3,"5VAU","D","H"
896,3,"5VAX","A","E"
897,5,"5VAX","A","E"
898,1,"5VAX","A","E"
899,1,"5VAX","A","E"
900,5,"5VAX","A","E"
901,10,"5VAX","A","E"
902,5,"5VAX","A","E"
903,12,"5VAX","A","E"
904,5,"5VAX","B","F"
905,5,"5VAX","B","F"
906,1,"5VAX","B","F"
907,1,"5VAX","B","F"
908,5,"5VAX","B","F"
909,10,"5VAX","B","F"
910,1,"5VAX","B","F"
911,6,"5VAX","B","F"
912,3,"5VAX","B","F"
913,1,"5VAX","C","G"
914,5,"5VAX","C","G"
915,1,"5VAX","C","G"
916,5,"5VAX","C","G"
917,4,"5VAX","C","G"
918,5,"5VAX","C","G"
919,10,"5VAX","C","G"
920,13,"5VAX","C","G"
921,12,"5VAX","C","G"
922,3,"5VAX","C","G"
